Text	Type	MainCategory
Abandoned	Emotion_L3	Sad
Accepted	Emotion_L2	Happy
Aggressive	Emotion_L2	Angry
Amazed	Emotion_L2	Surprised
Angry	Emotion_L1	Angry
Annoyed	Emotion_L3	Angry
Anxious	Emotion_L2	Fearful
Apathetic	Emotion_L3	Bad
Appalled	Emotion_L3	Disgusted
Aroused	Emotion_L3	Happy
Ashamed	Emotion_L3	Sad
Astonished	Emotion_L3	Surprised
Awe	Emotion_L3	Surprised
Awful	Emotion_L2	Disgusted
Bad	Emotion_L1	Bad
Betrayed	Emotion_L3	Angry
Bitter	Emotion_L2	Angry
Bored	Emotion_L2	Bad
Busy	Emotion_L2	Bad
Cheeky	Emotion_L3	Happy
Confident	Emotion_L3	Happy
Confused	Emotion_L2	Surprised
Content	Emotion_L2	Happy
Courageous	Emotion_L3	Happy
Creative	Emotion_L3	Happy
Critical	Emotion_L2	Angry
Curious	Emotion_L3	Happy
Depressed	Emotion_L2	Sad
Despair	Emotion_L2	Sad
Detestable	Emotion_L3	Disgusted
Disappointed	Emotion_L3	Sad
Disapproving	Emotion_L2	Disgusted
Disgusted	Emotion_L1	Disgusted
Disillusioned	Emotion_L3	Surprised
Dismayed	Emotion_L3	Surprised
Dismissive	Emotion_L3	Angry
Disrespected	Emotion_L3	Angry
Distant	Emotion_L2	Angry
Eager	Emotion_L3	Surprised
Embarrassed	Emotion_L3	Disgusted
Empty	Emotion_L3	Sad
Energetic	Emotion_L3	Surprised
Excited	Emotion_L2	Surprised
Excluded	Emotion_L3	Fearful
Exposed	Emotion_L3	Fearful
Fearful	Emotion_L1	Fearful
Fragile	Emotion_L3	Sad
Free	Emotion_L3	Happy
Frightened	Emotion_L3	Fearful
Frustrated	Emotion_L2	Angry
Furious	Emotion_L3	Angry
Grief	Emotion_L3	Sad
Guilty	Emotion_L2	Sad
Happy	Emotion_L1	Happy
Helpless	Emotion_L3	Fearful
Hesitant	Emotion_L3	Disgusted
Hopeful	Emotion_L3	Happy
Horrified	Emotion_L3	Disgusted
Hostile	Emotion_L3	Angry
Humiliated	Emotion_L2	Angry
Hurt	Emotion_L2	Sad
Inadequate	Emotion_L3	Fearful
Indifferent	Emotion_L3	Bad
Indignant	Emotion_L3	Angry
Inferior	Emotion_L3	Fearful
Infuriated	Emotion_L3	Angry
Inquisitive	Emotion_L3	Happy
Insecure	Emotion_L2	Fearful
Insignificant	Emotion_L3	Fearful
Inspired	Emotion_L3	Happy
Interested	Emotion_L2	Happy
Intimate	Emotion_L3	Happy
Isolated	Emotion_L3	Sad
Jealous	Emotion_L3	Angry
Joyful	Emotion_L3	Happy
Judgmental	Emotion_L3	Disgusted
Let down	Emotion_L2	Angry
Lonely	Emotion_L2	Sad
Loving	Emotion_L3	Happy
Mad	Emotion_L2	Angry
Nauseated	Emotion_L3	Disgusted
Nervous	Emotion_L3	Fearful
Numb	Emotion_L3	Angry
Optimistic	Emotion_L2	Happy
Out of control	Emotion_L3	Bad
Overwhelmed	Emotion_L3	Bad
Peaceful	Emotion_L2	Happy
Perplexed	Emotion_L3	Surprised
Persecuted	Emotion_L3	Fearful
Playful	Emotion_L2	Happy
Powerful	Emotion_L2	Happy
Powerless	Emotion_L3	Sad
Pressured	Emotion_L3	Bad
Proud	Emotion_L2	Happy
Provoked	Emotion_L3	Angry
Rejected	Emotion_L2	Fearful
Remorseful	Emotion_L3	Sad
Repelled	Emotion_L2	Disgusted
Resentful	Emotion_L3	Angry
Respected	Emotion_L3	Happy
Revolted	Emotion_L3	Disgusted
Ridiculed	Emotion_L3	Angry
Rushed	Emotion_L3	Bad
Sad	Emotion_L1	Sad
Scared	Emotion_L2	Fearful
Sensitive	Emotion_L3	Happy
Shocked	Emotion_L3	Surprised
Skeptical	Emotion_L3	Angry
Sleepy	Emotion_L3	Bad
Startled	Emotion_L2	Surprised
Stressed	Emotion_L2	Bad
Successful	Emotion_L3	Happy
Surprised	Emotion_L1	Surprised
Thankful	Emotion_L3	Happy
Threatened	Emotion_L2	Fearful
Tired	Emotion_L2	Bad
Trusting	Emotion_L2	Happy
Unfocussed	Emotion_L3	Bad
Valued	Emotion_L3	Happy
Victimized	Emotion_L3	Sad
Violated	Emotion_L3	Angry
Vulnerable	Emotion_L2	Sad
Weak	Emotion_L2	Fearful
Withdrawn	Emotion_L3	Angry
Worried	Emotion_L3	Fearful
Worthless	Emotion_L3	Fearful
adult	Age	Age
elderly	Age	Age
middle-age	Age	Age
old	Age	Age
older	Age	Age
person	Age	Age
young	Age	Age
